Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Release Date,Running Time,License
The Blair Witch Project,1999,Artisan Entertainment,60000,1512054,140539099,108100000,248639099,16-Jul-99,1 hr 21 min,R
Inception,2010,Warner Bros.,160000000,62785337,292587330,546443300,839030630,15-Jul-10,2 hr 28 min,PG-13
Wanted,2008,Universal Pictures,75000000,50927085,134508551,207954512,342463063,26-Jun-08,1 hr 50 min,R
Gangs of New York,2002,Miramax,100000000,9100000,77812000,115960504,193772504,20-Dec-02,2 hr 47 min,R
Ocean's Thirteen,2007,Warner Bros.,June 6 2007 (EMEA APAC),36133403,117154724,194157900,311312624,2-Feb-17,1 hr 44 min,PG
The Batman,2022,Warner Bros.,March 1 2022 (South Korea),134008624,369345583,401617000,770962583,30-Jul-14,2 hr 1 min,PG-13
Transformers: Age of Extinction,2014,Paramount Pictures,210000000,100038390,245439076,858614996,1104054072,25-Jun-14,2 hr 45 min,PG-13
Die Another Day,2002,Metro-Goldwyn-Mayer (MGM),142000000,47072040,160942139,271028977,431971116,20-Nov-02,2 hr 13 min,PG-13
Inglourious Basterds,2009,The Weinstein Company,70000000,38054676,120540719,200917028,321457747,19-Aug-09,2 hr 33 min,R
Total Recall,2012,Sony Pictures Entertainment (SPE),125000000,25577758,58877969,139589199,198467168,2-Aug-12,1 hr 58 min,PG-13
Pitch Perfect 3,2017,Universal Pictures,45000000,19928525,104897530,80502815,185400345,21-Dec-17,1 hr 33 min,PG-13
The Meg,2018,Warner Bros.,130000000,45402195,145522784,383815731,529338515,8-Aug-18,1 hr 53 min,PG-13
Paranormal Activity 3,2011,Paramount Pictures,5000000,52568183,104028807,103011037,207039844,19-Oct-11,1 hr 23 min,R
Raiders of the Lost Ark,1981,Paramount Pictures,18000000,8305823,248159971,141766000,389925971,12-Jun-81,1 hr 55 min,PG
Dark Phoenix,2019,Twentieth Century Fox,200000000,32828348,65845974,186597000,252442974,5-Jun-19,1 hr 53 min,PG-13
The Island,2018,Well Go USA Entertainment,August 9 2018 (Australia),263412,670883,197655467,198326350,2-Aug-12,1 hr 58 min,PG-13
The Twilight Saga: Breaking Dawn - Part 2,2012,Lionsgate,120000000,141067634,292324737,556269211,848593948,14-Nov-12,1 hr 55 min,PG-13
Tropic Thunder,2008,DreamWorks,92000000,25812796,110515313,85187650,195702963,13-Aug-08,1 hr 47 min,R
Ghostbusters II,1989,Columbia Pictures,June 16 1989 (Domestic),29472894,112494738,102900000,215394738,8-Dec-00,2 hr 4 min,PG-13
12 Years a Slave,2013,Fox Searchlight,20000000,923715,56671993,131061209,187733202,18-Oct-13,2 hr 14 min,R
Journey to the West,2013,Magnolia Pictures,February 7 2013 (APAC),7456,18058,205619125,205637183,2-Jun-06,1 hr 46 min,PG-13
Waterworld,1995,Universal Pictures,175000000,21171780,88246220,175972000,264218220,28-Jul-95,2 hr 15 min,PG-13
The Others,2001,Miramax,17000000,14089952,96536177,113424350,209960527,10-Aug-01,1 hr 41 min,PG-13
Deadpool 2,2018,Twentieth Century Fox,110000000,125507153,324591735,461304874,785896609,16-May-18,1 hr 59 min,R
The Waterboy,1998,Walt Disney Studios Motion Pictures,23000000,39414071,161491646,24500000,185991646,6-Nov-98,1 hr 30 min,PG-13
Apollo 13,1995,Universal Pictures,June 30 1995 (Domestic),25353380,173837933,181077570,355237933,15-Sep-99,2 hr 2 min,R
